userName,score,at,content
ANISA r a,5,2024-09-10 03:01:16,good tambahkan freelance dong yang remot dari rumah
Jami Ilham,5,2024-09-10 02:34:25,Ok
Dini Anggreni,1,2024-09-10 02:14:43,"Ini mah aplikasi gak jelas jangan mau download lamaran saya padahal sesiluai tapi ,diketerangan nya tidak sesuai terus , terus banyak penipuannya juga tolong lah hapus aplikasi gak jelas ini"
HabibAl Official,5,2024-09-10 01:57:17,No komen ya
Dian Parulian,5,2024-09-10 01:55:32,👍🏼
Hendrika saputra,1,2024-09-09 15:13:34,belum puas
Abdul Lathif Lazuaprima,5,2024-09-09 10:34:25,bagus
rispan tirtawijaya,5,2024-09-09 09:34:32,apk sangat membantu dan sangat rekomen untuk pencaker
Dermawan Mawan,4,2024-09-09 09:16:36,👍👍👍
Sopyan Afandi,5,2024-09-09 07:38:00,bagus
Mario Teguh,5,2024-09-09 06:57:27,mantul
oktavia sridjatiwibowo,2,2024-09-09 06:27:54,mohon diperbarui kembali dan tolong disampaikan ke para recruiter jika melalukan recruitment mohon para kandidat diberi pemberitahuan apabila tidak lolos
Arlent Pramudya Qudrattullah,5,2024-09-09 06:19:16,"ini aplikasi terbaik, lowongannya asli dan real semua. bisa kontak langsung sama HRD nya, terima kasih Glints."
Sartono G S,5,2024-09-09 06:02:31,Sangat membantu tuk para pencari kerja👍👍👍
Bondan Wijoseno,4,2024-09-09 04:42:42,lumayan membantu
Riandy Ahmad Septianto,1,2024-09-09 02:39:14,Kenapa dengan aplikasi ini saya sudah banyak banget melamar cuman gk ada panggilan sama sekali saya mohon di respon dengan cepat🙏
Aris Mustakim,4,2024-09-09 00:53:02,sangat membantu
Muhajir Ajid,1,2024-09-08 19:23:00,Taii😡😡
Amalia Siska Kurniawati,1,2024-09-08 12:47:32,banyak penipuan
KeKet Channel,5,2024-09-08 12:11:48,"Semoga bisa dapat langsung kerja setelah gabung dengan Giants, amin..."
Abdur Rosyid,5,2024-09-08 11:54:21,Thanks glints
anindira mahess,5,2024-09-08 11:47:21,baru nyoba tadi pagi make glints keliatan nya baguss smoga cepet dapet kerjaany di aplikasi glins
Arin Arin,5,2024-09-08 10:09:08,sangat bermanfaat
Jay Licha,5,2024-09-08 02:05:54,semoga ada yg jodoh aamiin
Rubin Aphin,1,2024-09-07 15:48:36,lowongan bnyak tpi bnyk yg kadarluasa dan lowo zonk atau permainan app... saya pre uninstall bye2
Gyo Pangestu,5,2024-09-07 14:19:19,Belum dpt krja
Sigit Yoga,5,2024-09-07 12:40:53,nice apl
rihsan cahya,5,2024-09-07 12:29:48,bagus
Muhammad Mullya mudaini,5,2024-09-07 10:46:06,Cakeeeppp
Hendra Ahmad,5,2024-09-07 10:25:33,baik
Bayu Santoso,5,2024-09-07 09:56:55,Bagus bgt
Asik Piknik,5,2024-09-07 08:22:11,top fc
leonardus aldo,5,2024-09-07 07:54:56,keren
Efin Yan,3,2024-09-07 07:48:54,"Admin, tolong di saring lagi perihal Job kerja dirumah, saya mendapat panggilan interview job freelance yg disana tertera loker virtual asisten, ternyata kerjanya seperti yg sering iklan di sosmed dengan sistem komisi, Alhamdulillah saya tidak lanjut, dikarena saya pernah menemukan job seperti itu, tolong di saring lagi, kasihan yg benar-benar mencari job part time tapi malah kena job komisi. Maaf bintang saya 3 saja."
Fathur Rohman,5,2024-09-07 07:12:47,"alhamdulilah yaa allah, semenjak dowlond aplikasi ini, saya jadi senang bercampur bahagia, karena dulu saya belum dapat pekerjaan, selepas masuk ke akun maa syaa allah banget✨️🙏🏻 terus berikhtiar sampai Allah mengabulkan doa² yang kita impikan✨️🕊 Aameen👑"
Agung Harto,5,2024-09-07 06:27:51,bagus
Alfarizi Kholik,5,2024-09-07 03:19:58,apk rekomen cepet respon HRD nya
Rony Faisol,5,2024-09-06 17:35:35,ok banget diskripsi pekerjaan yang ditawarkan.
Armin Ali,5,2024-09-06 17:22:18,bagus
IKHLAS PENDINGIN SOLUTIONS _IPS,5,2024-09-06 14:21:31,bagus
Dhany Ramadhan,5,2024-09-06 13:49:59,dicoba aj dlu doain saya dpt kerjaan yg bener bg
Ani Afrida,3,2024-09-06 12:59:32,kasih bintang 2 dulu karena baru menggunakan
Boby Jumbo,2,2024-09-06 10:57:17,kurang kuas
Titik Suraini,5,2024-09-06 10:11:57,Bagus
Gad 0806,5,2024-09-06 09:31:28,nice
Titi aprilya,1,2024-09-06 07:36:04,"Banyak scam, pilhan kerja remote tp ujung2 nya di suruh top up utk meningkatkan mendapatan.. kocag. Lebih baik apl jobstreet gais, jelas."
Sukirman Man,5,2024-09-06 07:16:11,hrs lebih baik lg
ira rahmah,5,2024-09-06 05:24:58,baguuus
Afri andi,1,2024-09-06 04:18:26,scam aplikasi tidak jelas
Radhit Bariq Bayanaka,5,2024-09-06 03:13:36,sangat bagus
Ali F syukri,5,2024-09-06 02:59:50,chat jarang di balas
hery eses,5,2024-09-06 02:25:20,Udah aku beri lima bintang moga cepat dapet kerja 😊
Abdul Rahman,5,2024-09-06 02:02:17,Trimakasih glints berkat aplikasi ini saya mendapatkan pekerjaan dengan cepat dan mudah.
Arjuna Mahesya,5,2024-09-06 02:00:19,bagus
Aiyub MY,5,2024-09-05 15:52:38,sangat mendukung untuk memudahkan para seeker.
Dudi K,1,2024-09-05 11:17:22,"Tolong perbaiki settingan area nya. Di setting Area Jakarta, kenapa kota lain masuk ( Klaten,Semarang, Surabaya). Setting Jawa Barat, kenapa Bali ( Badung dan sekitarnya) masuk."
Alik Susiyanto,1,2024-09-05 09:34:37,"Banyak perusahaan scam, jangan di download"
Siti Hodijah,5,2024-09-05 09:18:37,"aplikasi yg sangat membantu saya untuk mencari kerja, jadi saya dapat panggilan banyak dari perusahaan,dan saya diterima. terimakasih banyak"
Ghulam Fadhilah achmad,5,2024-09-05 09:17:45,Alhamdulillah sangat membantu
sapri nasywa,4,2024-09-05 06:50:20,sangat membantu
Kap Damanik,1,2024-09-05 05:11:00,Udah di chat HRD yg status di baca cuma 1 yg lain cuma status terkirim..trus loker nya jg sedikit wilayah Jabodetabek kebanyakan luar daerah..
Nofia Cahyasari,5,2024-09-05 02:59:25,bagus... sangat mudah memperoleh info pekerjaan
Erik Efendi,4,2024-09-05 02:47:48,Bagus Lah
Yaaro nasekhi Landru,5,2024-09-05 02:42:57,saya tertarik dengan aplikas ini
Alvinnf,5,2024-09-05 02:35:43,ok
Sego Liwet 02,5,2024-09-05 02:30:51,baik
Ririn Harinii,4,2024-09-05 02:18:41,"Thank u glints.. aplikasinya bagus bgt gampang juga untuk cari pekerjaan, tapi kenapa ya akhir² ini glints tuh ngebug, kalau pas mau ngirim cv loading nya lama bgt pdhl sinyal okeoke aja, harus di close dulu baru ke kirim cv nya:( mohon diperbaiki yaa, jadi mempersulit untuk ngirim cv soalnya"
RIZAL PAIN,5,2024-09-05 02:03:56,ok
Miftahul Rozaq,5,2024-09-05 01:51:17,"Tolong diperbaiki lagi supaya bisa upload bukti file Sertifikat, dan tolong diperbaiki jika Bulan dan Tahun belum lewat, tidak bisa di stel buat nulis di Sertifikat Profil Glints, tolong diperbaiki lagi karena notifikasi status lamaran tidak bareng bahkan tidak ada karena di Email ada notifikasi lowongan tutup, sedangkan di Aplikasi Glints tidak ada."
Kakek Zeus,5,2024-09-04 17:14:30,saya senang menggunakan aplikasi ini
Pahru Roji,5,2024-09-04 14:59:29,aplikasi glints emang top respon ya cepet
Adi Sugianto,5,2024-09-04 13:11:02,ok
Leonardo Hasibuan01,5,2024-09-04 12:25:05,bagus
Lidas Dani,5,2024-09-04 09:36:35,good
Bayu Tanggoro,5,2024-09-04 09:20:10,mntapp
arief dkk,5,2024-09-04 07:21:34,om kadang gak sesuai pekerjaan sama gajinya
Jaya Laksanto,5,2024-09-04 06:14:53,"Terimakasih, sudah ada beberapa panggilan kerja dari berbagai perusahaan. makin sukses pokoknya."
MUHAMMAD SAEPULLOH,5,2024-09-04 05:54:12,Terima Kasih
Taufik Muzaky,5,2024-09-04 05:46:10,sangat bagus 👍
Nita Aprillia,5,2024-09-04 05:25:11,sangat mantap
Hendra Wan,5,2024-09-04 04:02:07,sangat membantu banget
Irman Nanda fy,5,2024-09-03 23:52:36,good
Fachrul Aditzah,5,2024-09-03 23:45:56,good
Hebran Fredi,5,2024-09-03 16:56:29,Bagus sekali.
Asmar Ox's,5,2024-09-03 15:57:28,bagus ini aplikasi
Muhammad Salim,5,2024-09-03 13:59:15,bagus
fitRan Aksin,5,2024-09-03 13:01:15,sangat membantu
Syarah Amalia,4,2024-09-03 06:50:28,sangat baguss dan Masi menunggu hasil selanjutnya setelah mencari loker² di aplikasi ini
Firjan Janu,5,2024-09-03 05:43:06,sangat membantu
mochammad mukson,5,2024-09-03 05:06:31,"Mantap, terpercaya dan komprehensif"
Lelly Nursyifa,5,2024-09-03 04:29:01,Bissmillah semoga dapet pekerjaan dari aplikasi Glints
Samsu Samsuddin,5,2024-09-03 02:29:27,sangat membantu because langsung kepada loker dituju.. sehingga terhindar dari loker palsu.
Karin Wati,5,2024-09-02 19:48:31,iya sangan baik
Farida Nuraini,4,2024-09-02 15:38:15,sangat bermanfaat
Kenzi Asril,5,2024-09-02 12:46:50,Oke jobnya
Achmadaziz Syach19,4,2024-09-02 07:20:29,mantap
iqbal alfariz,1,2024-09-02 05:01:12,Apk aneh nge bug gajelas
Rifki Firmansyah,5,2024-09-02 04:23:12,"mantap , semoga bisa menjadi jalan untuk mencari kerja"
Hachio tomeza Anisa karima,5,2024-09-02 03:05:53,Sangat mudah untuk digunakan.
Hendi Handika,5,2024-09-02 03:01:33,bismillah
Smsung Edan,1,2024-09-02 02:25:46,Loker bodong semua
yuda 2006,5,2024-09-01 19:59:10,Sangat membantu buat saya
ryan andreas banjarnahor,5,2024-09-01 15:07:43,ok
Syahputra Hilman,1,2024-09-01 14:27:12,"Dari 32 lamaran yang dikirim g ada 1 pun di lirik perusahaan,mending gw uninstall aplikasinya,"
Ade maulana,5,2024-09-01 11:13:10,sangat mudah untuk melamar
Irrul Speed,5,2024-09-01 05:11:16,sangat membantu untuk mendapatkan pekerjaan
Ringgit Kartika,5,2024-09-01 05:10:04,Thank you guys atom good morning good afternoon my name name my name aing Sherly
Suparno STI&k,5,2024-09-01 04:17:36,baik
Adriana Chicie,4,2024-09-01 03:36:22,sangat membantu para pencari kerja
Taufik Maulana,5,2024-09-01 02:05:03,mantap
Elly Sofia,4,2024-09-01 01:45:57,sangat puas
Martono Heriyanto,5,2024-09-01 01:25:57,mantap
Ronel Imanoel Sitorus Vane (RIVan),3,2024-09-01 01:16:53,"kalau sudah saya mendapatkan pekerjaan, saya buat Bintang 5."
rina aria,5,2024-08-31 21:19:45,aplikasi yg bagus untuk cari kerja sama kerja sampingan.
Rohman Saja,1,2024-08-31 18:34:50,Kecewa dengan apk satu ini loker nya ga jelas
Dona Ah,5,2024-08-31 11:27:59,semoga saya bisa secepatnya dapet kerja
Hendy Halim,1,2024-08-31 09:05:45,"Ga ada yg diterima,info palsu kebanyakan"
Azam Putri,5,2024-08-31 08:45:28,good place to find some job
riyan alkhoir,5,2024-08-31 08:28:25,bagus
joko ksbntr.69supot,5,2024-08-31 06:42:25,Bermanfaat
didin hasanudin,5,2024-08-31 06:42:12,TRIms banyak aplikasi Glints ini sangat membantu saya dlm mencari informasi pekerjaan Ternyata lebih sangat mudah skli lg TRIms bnyak aplikasi Glints🙏🏻
Safer dafer,5,2024-08-31 05:19:17,Semoga glints lebih maju & terdepan dari tahun ke tahun Dan semoga bermanfaat bagi saya pribadi & semua orang yang membutuhkan pekerjaan
"Ahmad Bazi Syarif, ST",5,2024-08-31 03:57:41,banyak pilihan kerjaan...aplikasi gak berat...mudah untuk cari loker
Andi Andika takbir,5,2024-08-30 17:52:17,mantap
Emiemi Batari,5,2024-08-30 14:43:00,"fast respons, semoga iklan lowker lbh spesfik dan lbh bnyk lagi untuk org2 yg sdh umur 40an yg tenaga nya msh bs d gunakan dan layak untuk bekerja berdasarkan pengalaman yg di miliki, terimakasih 🙏"
MERRY NATALIA PURBA OFFICIAL,5,2024-08-30 13:56:35,good
Ucu Ntx,4,2024-08-30 12:38:02,baik
Kartini Afriyani jayanatha,4,2024-08-30 11:07:22,lumayan bagus
adzikri habdillah,5,2024-08-30 10:44:47,mantappp
Ferius Lature,2,2024-08-30 10:10:47,Mohon apk glints ini untuk di bagusin kembali agak lelet....kmrn bagus saat di dowloand skrg agak lambat.
Susi Maryani46,5,2024-08-30 09:14:25,sangat puas
Desy Andiyanti,4,2024-08-30 06:12:47,good recommended
Syaiful Rohman,5,2024-08-30 04:34:38,sya minat kerja.
Bambang Wijaya,5,2024-08-30 03:20:54,Ok
Omelia Bago,5,2024-08-30 01:54:26,memudahkan untuk mendapatkan pekerjaan dan menambah informasi terbaru untuk semua orang yg berkeinginan untuk mengembangkan karir
Intan Nur Aini,4,2024-08-30 00:37:13,"fiturnya bagus, banyak lowongan yang sangat dicari. semoga semakin bagus dan banyak tambahan yang menarik"
Muhamad Permana putra,5,2024-08-29 16:11:13,Sangat membantu sekali
Eden's Official Tv,5,2024-08-29 14:58:08,membantu untuk mencari pekerjaan
Maman Man,5,2024-08-29 13:53:31,jarang ada respon
Vincentius Christian,5,2024-08-29 12:57:48,mantul
irsyal Syam,5,2024-08-29 11:36:44,sangat membantu
Filja fernando,5,2024-08-29 11:26:57,mksi sudah membantu
Bayu Wulandari,1,2024-08-29 11:01:49,Aplikasi babi
Ibrahim Hanif,5,2024-08-29 10:17:55,Aplikasi pencari kerja yang lumayan membantu.... semoga Amiiiin....🤲🙏
Fachmi Agustio,5,2024-08-29 09:32:34,good aplikasi
Vio Ds,5,2024-08-29 08:33:03,Scam banget rasa nya
Rudi Nugroho,5,2024-08-29 08:29:29,baik
rafiqul amin,5,2024-08-29 07:52:15,keren
Nisa Muta,4,2024-08-29 06:11:59,baru mencoba
Muhammad Nur Huda,5,2024-08-29 05:49:10,sangat baik
Asep Dery,5,2024-08-29 04:29:54,aplikasi nya sangat mudah dan sangat membantu
Siti Patonah,5,2024-08-29 03:51:07,baik
Usman Sulaeman,5,2024-08-29 03:09:23,bagus
sucicahya ilahi,3,2024-08-29 01:23:27,"Untuk filter pekerjaan masih berantakan. Padahal saya sudah pilih opsi pekerjaan daerah jakarta selatan tapi tetep saja muncul daerah jogja,kudus,magelang,banyuwangi,bandung,bali,semarang. Tolong dong perbaiki lagi ..."
Ainur Tresnawati,5,2024-08-29 01:22:51,sangat membantu untuk mencari kerja
Lalu Adi Hidayat Lalu Adi Hidayat Rachman,5,2024-08-28 22:38:25,Terimakasih informasinya
Henryck Jr,5,2024-08-28 19:36:19,Saya sangat menyukai aplikasi ini
Muchamad Rezki,5,2024-08-28 17:06:26,Aplikasi keren
Zasqia Siti Yuane Putri,5,2024-08-28 14:01:29,"cukup membantu, tapi saya harap bisa mengakses berbagai pekerjaan tanpa perlu memilih skill yang dimiliki agar dapat membantu seseorang memilih pekerjaan yang ada lebih cepat."
Heru Ardanaa,3,2024-08-28 13:14:11,slow respon hrd
Oga Lina,5,2024-08-28 13:07:28,mantap
Dpanjapa Japa,4,2024-08-28 13:03:32,"Sangat membantu sekali bagi mereka yang sedang mencari /membutuhkan pekerjaan,"
Ulfah Sa'adah,5,2024-08-28 10:48:29,"sangat membantu, semoga ada rejekinya untuk IRT ini 🤲💖"
Firjoe Joe,5,2024-08-28 08:22:40,top
akbar krisna,1,2024-08-28 08:01:41,Isinya penipuan semua lokernya
M. Syarifudin Komarullah,1,2024-08-28 07:32:50,"Aplikasi penipu, gak mungkin di Palembang tidak ada pekerjaan sama sekali"
Faisal Hasanudin,5,2024-08-28 04:21:03,bermanfaat buat cari kerja
Ferin Pashy,5,2024-08-28 03:22:36,Nice
Muhammad Fajar syamsuri,5,2024-08-28 03:17:31,ok
Dwi Putri Anggraini,5,2024-08-28 02:13:13,aplikasi yang akan memulai karier saya dengan baik
Suti Melati,5,2024-08-28 01:43:42,assalamualaikum bismillah semoga secepatnya aku bisa kerja
heldian novianto,5,2024-08-28 00:04:19,ok
dimas saputro,4,2024-08-28 00:01:12,mantappp
Idhar Irawan,5,2024-08-27 12:36:24,Alhamdulilah berkat apk ini saya dapat kerja
Sayiber Brengos,5,2024-08-27 10:06:06,samp sekarang belum bisa dapat apah yang sayah mau
Irfandi,5,2024-08-27 07:39:47,"semoga ada peluang, untuk orang-orang yang mau berusaha,🤲"
Alip Arif,5,2024-08-27 06:27:37,sangat penting dalam memulai karier
Mbah Lamong,5,2024-08-27 05:44:00,sangat bermanfaat bagi saya
Den Aray875,1,2024-08-27 05:07:46,Susah bgt di gunain karna pake BHS inggris
Yasma Sari,5,2024-08-27 03:55:57,bagus
Yuda Prasetya,1,2024-08-27 03:19:32,"Aplikasi loker gajelas, dari awal download tahun 2023 bulan november, ga ada satupun dapet panggilan/interview, scam semua, padahal cuma mau cari magang/intern, tapi HRD tanpa chat yang jelas, skill tidak sesuai atau lowongan sudah ditutup. Gajelas woi, buang buang kuota+waktu. APK SCAM!!"
Andy Ihsan Abdurrahman,5,2024-08-27 01:51:57,sangat bermanfaat
Dedi Abisyah,5,2024-08-27 01:48:07,Keren 👍🏻
Rizqi Maulana Ikhwan,5,2024-08-26 14:12:46,membantu
ILHAM [ ELIT ],5,2024-08-26 14:12:00,"sangat bagus apk ini, tempat cari kerja yang praktis dan simpel"
Andy Khitrianto,5,2024-08-26 12:37:33,krennn
Anita Nubatonis,5,2024-08-26 11:20:18,"melalui aplikasi ini, dapat memudahkan saya untuk mencari pekerjaan yang sesuai dgn kemampuan saya"
Gilang Ansyori,2,2024-08-26 10:51:01,Tidak ada satu pun lamaran saya yang sampe di proses. Apakah betul lamaran saya sampai pada HRD nya??
Budi Darmawan,5,2024-08-26 09:06:00,sangat bagus
jumas tan,5,2024-08-26 08:29:56,"mantep tau aplikasinya, langsung HRDnya yang cek"
Doni Andreansyah,1,2024-08-26 08:06:45,"Susah bgt,selalu d tolak lamarannya pdhl udh lengkap dan melamar sesuai yg d butuh kan tp ttp aj sayangny lamaran kmu tidak bisa d lanjutkqn"
Mochamad Dony Noviandri,5,2024-08-26 07:09:45,"keren, bisa chat dgn hrd langsung"
aloysius yahfetson boru,5,2024-08-26 06:20:26,sangat bagus
Alvi Alvi,1,2024-08-26 04:28:17,jos
Redy Harjadinata,5,2024-08-26 04:08:32,mudah untuk digunakan dan dipahami..cara cepat untuk melamar pekerjaan.
sabar,5,2024-08-26 01:59:51,Semoga bermanfaat
MaIn Jahadaaelsinlae,4,2024-08-26 01:40:40,"maaih mendowlod..dan belum tahu, bagus ato tidaknya."
Ginanjar Eko,5,2024-08-26 01:13:22,Sangat membantu mencari pekerjaan
Ril Kasim,5,2024-08-25 16:58:59,apk terkenal bisa mendapatkan uang
Anto Sani,5,2024-08-25 14:52:06,sangat membantu saya mencari pekerjaan
Daniel Jhon,5,2024-08-25 12:43:47,Hanya GLINTS yang keren dari semua aplikasi pencaker.👍👍👍
khoir Djawal,5,2024-08-25 12:41:56,good
Noorman Ramadhan,5,2024-08-25 12:34:49,bagikan lowongan lain untuk smu sederajat umur diatas 35th
Andy Setiawan (Andy),5,2024-08-25 12:20:25,"saya pernah mendapatkan pekerjaan dari aplikasi ini, terimakasih glints"
Jelajah Mata Lensa,5,2024-08-25 09:52:48,bagus
Fifin Alfin,5,2024-08-25 08:53:35,aplikasi yang sangat menarik
Jaedi putra Putra,5,2024-08-25 02:53:16,okbosss
Rifaldy 123,5,2024-08-24 22:32:54,Bagus untuk cari loker
Agung Stefanny99,5,2024-08-24 19:42:14,semoga beruntung
Abdullah Azis,5,2024-08-24 17:33:26,sangat membantu.
diana otu,4,2024-08-24 14:23:56,aplikasi bagus banget sangat membantu buat yang lagi cari kerja
Aris Setioyhunanto,5,2024-08-24 14:19:24,Membantu sekali apk glint ini untuk info lowongan pekerjaan
Aan Aulia,5,2024-08-24 12:47:36,sangat membantu
Suci Iryanti,5,2024-08-24 10:02:33,good
Yacob Sahuleka,4,2024-08-24 06:40:23,sangat bgus
Andre Setiawan,4,2024-08-24 06:25:02,oke
Herliani,5,2024-08-24 05:28:42,ok
Murni Manik,4,2024-08-24 05:03:15,baik
aulia noor,2,2024-08-24 03:15:37,"Hi Glints ! Informasikan kepada seluruh HRD cari yang mau kerja jangan hanya lihat umur saja! Lihat berapa kali saya apply dan berapa kali rejected hanya karena baru liat CV saja. Padahal Mereka tidak interview, tidak ada test. Apa karena saya experienced sementara perusahaan hanya bisa kasih gaji kecil? Its ok kan negotiable! Jobdesk sudah sesuai dengan pengalaman saya tapi rejected mulu."
Ade Irawan,4,2024-08-24 02:21:47,gw kasih 5 kalo dpt kerja
Radul Channel,5,2024-08-23 22:32:06,Nyoba dulu
Rafika Medan,5,2024-08-23 12:15:08,terima kasih sudah memudahkan mencari kerja
Moh Ashar,5,2024-08-23 11:53:31,Aplikasi wajib buat para pemburu pengalaman + cuan👑
Cakra Adiyat,3,2024-08-23 11:38:06,Bener gk sih aplikasi ini
Tuti Rohimah,3,2024-08-23 09:19:04,Seharusnya aplikasi ini bagus ya tpi lama bgt panggilan interviw nya setudak nya bisa lebih cepat untuk memberikan informasi nya.
Nur Abyantoro,4,2024-08-23 09:18:52,"membantu untuk mencari pekerjaan,tapi kebanyakan lulusan sarjana . klo bisa banyakin lagi untuk lulusan SMK buat daerah Cikarang cekasi"
Dewi,4,2024-08-23 05:34:52,keren
T Rex,1,2024-08-23 03:11:21,Bad
valen victor,5,2024-08-23 01:27:43,baik
Sidhi Pangarso,5,2024-08-23 01:13:35,Bagus selalu update
Dedy Farizal5,3,2024-08-22 17:58:49,Ok.. Dicoba Ulang Diproses Dinyatakan Dipertimbangkan Diperhatikan.
Nisa Hanjani,5,2024-08-22 16:20:35,apk ini sangat membantu untuk mencari pekerjaan..
Arsif Sutanto,1,2024-08-22 15:49:59,masih bingung sudah beberapa di kirim CV belum ada respon ada kesalahan apa ini
Heri Cahyono,5,2024-08-22 14:16:18,good apps
Yhatzna 94,5,2024-08-22 12:49:12,ok
Fyrman Sdm,5,2024-08-22 12:18:15,sangat membantu dalam mencari kerja.
Widya Fitriyani,4,2024-08-22 10:42:11,"Sudah bagus, tapi untuk dikategori pendidikan , tolong ditambahkan untuk option Profesi. Jadi S1-PROFESI"
Sapar Wadi,3,2024-08-22 08:19:37,Kami pemula apakah ini betul benar atau tidak. Yg penting sy coba coba dulu
Ali Dvr,5,2024-08-22 07:02:39,membantu
Satrio Satrio,5,2024-08-22 06:54:22,ok
Nickyarnnas Wibowo,5,2024-08-22 05:18:13,bismillah semoga ada rezekinya
Mas Baguse,5,2024-08-22 03:25:21,mantap banget membantu mencari pekerjaan
Pipih Ruķmana,5,2024-08-21 22:48:59,Info jelas tentang loker.
Celsi Cel,5,2024-08-21 16:59:33,baru coba
Rojak Apriyadi,5,2024-08-21 15:19:40,Jaman sekarang mungkin karena perekonomian sekarang suasana banyak sekali merasa.kebutuhan.ekonomi.meningkat Jaman sekarang
Kangkung Bandung,5,2024-08-21 15:07:52,sangat membatu untuk pemula
Ariffandi Sidiq,5,2024-08-21 13:02:37,oke
Irma Wati,5,2024-08-21 12:01:21,Sedikit lebih sulit tapi aplikasi ini bnyak job dari luar
Nur Cholis,5,2024-08-21 11:59:57,bagus
Mahdas Sulaiman,5,2024-08-21 10:34:13,bagus
Isha Isbandi,5,2024-08-21 10:00:19,good
Ciko Ciko,5,2024-08-21 08:28:10,ok
Henri Wijaya,5,2024-08-21 06:11:06,"info lamaran cukup cepat,sehingga kita bisa tahu dengan segera status lamarannya"
Ahmad Muzakky,5,2024-08-21 05:56:11,sangat membantu mencari pekerjaan yg relevan dengan apa yg kita minati
Nikita Tesabela038,5,2024-08-21 03:06:31,"waw apk nya baagus sekaali, cocok buat digunakan"
Imam Susanto,5,2024-08-21 02:54:01,sangat membantu
Surya Jaya,5,2024-08-20 23:02:34,bagus dalam memberi lowongan
Arief Ramadhan,5,2024-08-20 16:43:19,good
Sundari Delly,1,2024-08-20 16:06:19,vacant iklan lokernya gak jelas banyakan PHP
Daffa Sabran,5,2024-08-20 15:41:35,mantap glints
Yusro Effendi Al-Pagenjahani (Al-Ghozali Muda),5,2024-08-20 14:02:58,Bagus bisa membantu masyarakat walaupun dari pihak perusahaannya tidak ada respon.
Iftihal Septiani,5,2024-08-20 13:40:09,semoga bermanfaat buat saya
Nelly Pebrina Sagala,5,2024-08-20 06:45:33,semoga lowongan pekerjaan tidak bodong ya bun
Yosi Armando,5,2024-08-20 06:11:33,Mengangumkan
afif miftahudin,5,2024-08-20 05:45:04,bagus
Kinanti Kailla,5,2024-08-20 01:24:17,sangat membantu
anik anik,3,2024-08-20 01:19:07,bagus
Sania Putri,5,2024-08-19 15:43:05,sangat membantu
Wisnu Purwagarlaky,5,2024-08-19 15:31:18,simple dan mudah
Arifin Insan,5,2024-08-19 15:06:18,Apk pengurangan masalah pengangguran
Novi Novi,5,2024-08-19 14:24:47,baik
Anjay Aku boong,5,2024-08-19 10:14:46,Sangat bagus mengasikan uang
Akie Futkie,5,2024-08-19 08:53:40,professional mantap
Egis Tianda,5,2024-08-19 06:58:34,sangat bagus
Sri Indra,3,2024-08-19 06:11:35,nice
Raihan Mc,5,2024-08-19 05:48:00,"Terima kasih glints, sat set bener nih pake apk glints, baru minggu kemaren ajukan lamaran via Glints dan alhamdulillah besok sudah bisa langsung masuk kerja"
Nurh wayandani,5,2024-08-19 04:58:08,lowongan kerja sangat banyak... aplikasi terbaik dari yang lain. langsung bintang 5
Kevin Akbar,5,2024-08-19 04:38:05,nice
Rudy Yono,3,2024-08-19 04:19:07,"terimakasih glints saya merasa terbantu dengan apk ini, tetapi saya blm mendapatkan pekerjaan dari apk ini, jadi sementara 3 bintang dulu ya"
Desi aliyaa,3,2024-08-19 03:23:03,msih stengah
alya salfa karima,1,2024-08-19 02:54:17,"Kok gini ya Udah dicantumkan lowongan yg sesuai daerah domisili agar dekat tapi ttp aj yg kluar malah luar daerah domisili, jauh2 sekali sampe ke kluar kota."
Muhammad Fahmi,3,2024-08-19 02:23:21,"Aplikasi bagus dari segi lowongan, namun ketika sedang scrolling lowongan sering sekali keluar aplikasi secara tiba-tiba. Mohon diperbaiki dan dievaluasi kedepannya."
Farel Lagu lagu,5,2024-08-19 02:07:11,saya tertarik
Ahmad Kiki (#Elang-Sundanese),5,2024-08-19 01:21:25,lumayan dari pada lumayun . nganggur enga kerja
Yusup Supriadi,5,2024-08-18 18:53:53,ok
henricusm. manalu,4,2024-08-18 18:21:00,"be cool.,😊"
Wulandari Maesa,5,2024-08-18 17:58:42,sangat membantu
NUR HASAN,5,2024-08-18 14:17:50,Biar bintang yang bicara.semangat bekerja
rachmad tri wijanarko,5,2024-08-18 09:21:24,ingin tanya nih apa ini beragam jenis lowongan kerja di beberapa perusahaan terkemuka tanpa ada cullukulum vitae
Yohanes Berchmans Ndari,5,2024-08-18 06:41:14,baik sekali
Angela Monica,3,2024-08-18 04:50:20,Biasa
Ahmad Wendro,5,2024-08-18 04:09:58,Bagus
HEPI RAMDAN,5,2024-08-18 03:50:55,good job
Jukana Cirebon,5,2024-08-18 01:28:01,mantap
Slamet Fahudin,3,2024-08-17 22:31:36,"Maaf aku kasih 3, karna pilihan pekerjaan nya untuk orang yang sekolah nya tinggi semua gak ada yang setara SMA, atau SMK"
maman sulaeman,5,2024-08-17 20:04:42,semoga ada panggilan interviu
akaj amusuk,5,2024-08-17 17:47:52,ok
Rahmansyah Vivo,5,2024-08-17 17:08:19,mantap sangat lah oke.
Yati Apen,5,2024-08-17 13:54:02,baik
